Laser,Filter,RAB,MFITarget,rCVSpec,GainChangeSpec,SensitivitySepc,CytekAssaySetting
Blue,488/10,40000,2000000,6,100,150,2000000
Blue,488/15,40000,2000000,8,100,150,2000000
Blue,508/20,92800,143638,6,100,150,143638
Blue,525/17,114346,178827,6,100,150,178827
Blue,542/17,128900,544978,6,100,150,544978
Blue,581/19,135499,742706,6,100,150,742706
Blue,598/20,159361,877945,6,100,150,877945
Blue,615/20,203057,933740,6,100,150,933740
Blue,661/17,213338,575288,6,100,150,575288
Blue,679/18,244237,486902,6,100,150,486902
Blue,697/19,358471,604660,6,100,150,604660
Blue,717/20,499116,420182,6,100,150,420182
Blue,738/21,537453,277601,6,100,150,277601
Blue,760/23,670033,275902,6,100,150,275902
Blue,783/23,911998,255380,6,100,150,255380
Blue,812/34,1970136,551110,6,100,150,551110
Blue,843/30,25493781,1348634,6,100,150,1348634
Blue,871/25,27032161,1550977,6,100,150,1550977
Blue,857/30,40000,1000,6,100,150,1000
Blue,875/50,40000,1000,6,100,150,1000
Red,660/15,40000,2000000,6,100,150,2000000
Red,661/17,88220,418421,6,100,150,418421
Red,679/18,123951,1097047,6,100,150,1097047
Red,697/19,293362,2049997,6,100,150,2049997
Red,717/20,452061,1977934,6,100,150,1977934
Red,738/21,456218,1644393,6,100,150,1644393
Red,760/23,538305,1447797,6,100,150,1447797
Red,783/23,928830,1912121,6,100,150,1912121
Red,812/34,2381813,2126948,6,100,150,2126948
Red,843/30,3106842,958388,6,100,150,958388
Red,871/25,3055963,1124809,6,100,150,1124809
Red,857/30,40000,5000,6,100,150,5000
Red,875/50,40000,5000,6,100,150,5000
Violet,405/10,40000,2000000,10.5,100,150,2000000
Violet,405/15,40000,2000000,10.5,100,150,2000000
Violet,428/15,127926,600245,6,100,150,600245
Violet,443/15,115401,1273690,6,100,150,1273690
Violet,458/15,105427,1382303,6,100,150,1382303
Violet,473/15,93236,1238722,6,100,150,1238722
Violet,508/20,84851,1068041,6,100,150,1068041
Violet,525/17,84980,765253,6,100,150,765253
Violet,542/17,93643,897923,6,100,150,897923
Violet,581/19,131949,768859,6,100,150,768859
Violet,598/20,189264,776286,6,100,150,776286
Violet,615/20,316480,1172005,6,100,150,1172005
Violet,664/27,314921,519762,6,100,150,519762
Violet,692/28,519193,457737,6,100,150,457737
Violet,720/29,890551,523133,6,100,150,523133
Violet,750/30,1013649,465805,6,100,150,465805
Violet,780/30,1690545,500008,6,100,150,500008
Violet,812/34,4865969,575326,6,100,150,575326
YellowGreen,561/10,40000,2000000,8,100,150,2000000
YellowGreen,561/15,40000,2000000,8,100,150,2000000
YellowGreen,577/20,188922,921233,6,100,150,921233
YellowGreen,598/20,289144,1827540,6,100,150,1827540
YellowGreen,615/20,331525,2696876,6,100,150,2696876
YellowGreen,661/17,288019,1537860,6,100,150,1537860
YellowGreen,679/18,299673,1359260,6,100,150,1359260
YellowGreen,697/19,494786,1524531,6,100,150,1524531
YellowGreen,720/29,726703,2098129,6,100,150,2098129
YellowGreen,750/30,783220,1089152,6,100,150,1089152
YellowGreen,780/30,1197885,1041702,6,100,150,1041702
YellowGreen,812/34,3052090,1214018,6,100,150,1214018
UV,355/10,40000,2000000,8,100,150,2000000
UV,355/15,40000,2000000,8,100,150,2000000
UV,373/15,1282172,304543,6,100,150,304543
UV,388/15,1004878,2029844,6,100,150,2029844
UV,428/15,299938,1544671,6,100,150,1544671
UV,443/15,194747,1241522,6,100,150,1241522
UV,458/15,131095,1215911,6,100,150,1215911
UV,473/15,100665,1547736,6,100,150,1547736
UV,514/28,73646,1706742,6,100,150,1706742
UV,542/28,80670,1040660,6,100,150,1040660
UV,582/31,94847,1363442,6,100,150,1363442
UV,613/31,81532,1243347,6,100,150,1243347
UV,664/27,78865,589510,6,100,150,589510
UV,692/28,131224,495376,6,100,150,495376
UV,720/29,202433,546560,6,100,150,546560
UV,750/30,179405,654817,6,100,150,654817
UV,780/30,219275,608495,6,100,150,608495
UV,812/34,387512,862218,6,100,150,862218
