Laser,Filter,RAB,MFITarget,rCVSpec,GainChangeSpec,SensitivitySepc,CytekAssaySetting
Blue,488/10,40000,2000000,6,100,150,400000
Blue,488/15,40000,2000000,8,100,150,3000000
Blue,508/20,86944,134573,6,100,150,134000
Blue,525/17,86676,135553,6,100,150,129000
Blue,542/17,57899,244793,6,100,150,232000
Blue,581/19,65751,360400,6,100,150,353000
Blue,598/20,92516,509682,6,100,150,495000
Blue,615/20,135002,620794,6,100,150,599000
Blue,661/17,162445,438048,6,100,150,416000
Blue,679/18,176728,352318,6,100,150,319000
Blue,697/19,204593,345103,6,100,150,279000
Blue,717/20,244049,205453,6,100,150,152000
Blue,738/21,281044,145163,6,100,150,115000
Blue,760/23,352605,145193,6,100,150,119000
Blue,783/23,409636,114707,6,100,150,95700
Blue,812/34,457032,127847,6,100,150,116000
Blue,843/30,419353,22184,6,100,150,20053
Blue,871/25,438947,25185,6,100,150,22667
Blue,857/30,40000,1000,6,100,150,1000
Blue,875/50,40000,1000,6,100,150,1000
Red,660/15,40000,2000000,6,100,150,3000000
Red,661/17,82604,391787,6,100,150,367000
Red,679/18,77492,685851,6,100,150,585000
Red,697/19,110930,775177,6,100,150,504000
Red,717/20,158937,695401,6,100,150,393000
Red,738/21,164719,593710,6,100,150,388000
Red,760/23,184763,496929,6,100,150,346000
Red,783/23,244082,502477,6,100,150,348000
Red,812/34,272949,243742,6,100,150,183000
Red,843/30,196518,60621,6,100,150,46614
Red,871/25,196553,72345,6,100,150,55939
Red,857/30,40000,5000,6,100,150,5000
Red,875/50,40000,5000,6,100,150,5000
Violet,405/10,40000,2000000,8,100,150,400000
Violet,405/15,40000,2000000,8,100,150,3000000
Violet,428/15,94995,445727,6,100,150,470000
Violet,443/15,95736,1056639,6,100,150,1108000
Violet,458/15,95220,1248487,6,100,150,1310000
Violet,473/15,96693,1284656,6,100,150,1342000
Violet,508/20,98282,1237095,6,100,150,1293000
Violet,525/17,100635,906224,6,100,150,945000
Violet,542/17,103478,992221,6,100,150,1030000
Violet,581/19,138851,809077,6,100,150,828000
Violet,598/20,222316,911852,6,100,150,918000
Violet,615/20,399922,1481012,6,100,150,1476000
Violet,664/27,427993,706384,6,100,150,684000
Violet,692/28,473625,417562,6,100,150,347000
Violet,720/29,640166,376049,6,100,150,275000
Violet,750/30,777288,357189,6,100,150,293000
Violet,780/30,1060496,313660,6,100,150,266000
Violet,812/34,1313600,155313,6,100,150,146000
YellowGreen,561/10,40000,2000000,8,100,150,400000
YellowGreen,561/15,40000,2000000,8,100,150,3000000
YellowGreen,577/20,95005,463270,6,100,150,457000
YellowGreen,598/20,196994,1245104,6,100,150,1212000
YellowGreen,615/20,235893,1918928,6,100,150,1864000
YellowGreen,661/17,207723,1109124,6,100,150,1060000
YellowGreen,679/18,188002,852745,6,100,150,780000
YellowGreen,697/19,213941,659191,6,100,150,518000
YellowGreen,720/29,259206,748378,6,100,150,536000
YellowGreen,750/30,283907,394802,6,100,150,296000
YellowGreen,780/30,351368,305556,6,100,150,228000
YellowGreen,812/34,414433,164847,6,100,150,132000
UV,355/10,40000,2000000,8,100,150,400000
UV,355/15,40000,2000000,8,100,150,3000000
UV,373/15,26765,6357,6,100,150,9500
UV,388/15,24359,49205,6,100,150,80800
UV,428/15,25700,132355,6,100,150,206000
UV,443/15,26093,166344,6,100,150,255000
UV,458/15,25966,240836,6,100,150,371000
UV,473/15,25938,398797,6,100,150,615000
UV,514/28,25663,594737,6,100,150,927000
UV,542/28,25731,331930,6,100,150,516000
UV,582/31,26871,386273,6,100,150,575000
UV,613/31,28041,427625,6,100,150,610000
UV,664/27,29371,219545,6,100,150,299000
UV,692/28,34540,130389,6,100,150,151000
UV,720/29,41221,111296,6,100,150,108000
UV,750/30,38464,140392,6,100,150,146000
UV,780/30,38206,106023,6,100,150,111000
UV,812/34,34337,76400,6,100,150,89000
